announce	5	4
announced	4	6
announcement	5	3
announcer	4	4
annoy	1	5
annoyance	1	5
annoyed	1	5
annoyer	0	6
annoyin	2	4
annoying	1	6
annoyingness	1	6
annoys	1	5
annual	4	2
annualize	4	3
annually	4	1
annuity	4	2
annul	2	3
annular	2	3
annullable	1	1
annulment	1	3
annulus	3	3
annunciate	4	5
annunciation	5	4
anode	4	4
anodize	4	2
anoint	6	5
anointed	4	3
anointer	5	3
anointing	5	2
anointment	5	2
anomalism	2	4
anomalistic	2	5
anomalous	2	3
anomalously	3	4
anomaly	1	4
anon	3	2
anonymity	3	2
anonymous	3	2
anonymously	4	3
anorexia	0	2
anorexic	1	4
another	3	2
answer	4	3
answerability	6	3
answerable	5	3
answerably	4	4
answerer	5	6
answering	5	4
answerless	1	1
ant	3	2
antacid	5	2
antagonism	2	4
antagonist	2	4
antagonistic	2	4
antagonistically	1	6
antagonize	2	5
antarctic	4	0
ante	3	2
anteater	4	6
antebellum	3	1
antecede	4	6
antecedence	4	2
antecedent	3	4
antechamber	4	1
antelope	4	4
antenna	4	2
antennae	4	3
antepartum	4	1
anterior	4	2
anteroom	4	1
anthem	5	2
anthill	2	4
anthological	6	3
anthologist	5	1
anthologize	6	6
anthology	2	3
anthrax	1	5
anthropic	4	4
anthropocentric	3	4
anthropogenesis	4	4
anthropogenic	3	4
anthropography	4	2
anthropoid	4	3
anthropological	3	3
anthropologically	4	3
anthropologist	4	3
anthropology	3	3
anthropomorphic	4	4
anthropomorphically	4	2
anthropomorphism	4	6
anthropomorphist	4	5
anthropomorphize	4	6
anthropomorphosis	4	4
anthropomorphous	4	4
anti	3	3
antiaircraft	2	4
antibacterial	6	4
antibiotic	4	3
antibiotics	3	3
antibody	7	1
antic	3	6
anticensorship	6	6
antichrist	1	6
antichristian	0	4
antichurch	1	5
anticipant	6	6
anticipatable	5	2
anticipate	4	3
anticipated	6	6
anticipation	5	4
anticipative	6	6
anticipator	6	6
anticipatorily	5	6
anticipatory	5	4
anticlassical	4	5
anticlassicist	3	6
anticlerical	1	6
anticlericalism	1	6
anticlimactic	1	1
anticlimax	1	1
anticlockwise	4	5
anticoagulant	3	1
anticoagulation	1	3
anticommunism	1	6
anticommunist	4	6
anticonvulsant	6	5
anticonvulsive	6	1
anticorrosion	6	1
anticorrosive	6	2
antics	3	5
anticyclone	4	2
antidemocrat	1	6
antidemocratic	0	5
antidepressant	6	2
antidiuretic	2	1
antidotal	4	5
antidote	4	3
antidrug	6	1
antiestablishment	2	6
antievolution	1	3
antievolutionist	2	6
antifascist	7	6
antifeminism	1	6
antifeminist	1	6
antifreeze	3	4
antifriction	6	4
antifundamentalist	1	6
antifungal	3	3
antigambling	5	2
antigen	4	4
antiglare	6	2
antigovernment	2	6
antigravity	3	5
antigrowth	1	1
