pass,fail,crash,total,timestamp
49,0,0,49,2026-03-27 12:04:07
49,0,0,49,2026-03-27 12:05:08
49,0,0,49,2026-03-27 12:06:08
49,0,0,49,2026-03-27 12:07:08
49,0,0,49,2026-03-27 12:08:09
49,0,0,49,2026-03-27 12:09:10
49,0,0,49,2026-03-27 12:10:10
49,0,0,49,2026-03-27 12:11:10
49,0,0,49,2026-03-27 12:12:11
49,0,0,49,2026-03-27 12:13:11
49,0,0,49,2026-03-27 12:14:12
49,0,0,49,2026-03-27 12:15:13
49,0,0,49,2026-03-27 12:16:15
49,0,0,49,2026-03-27 12:17:15
49,0,0,49,2026-03-27 12:18:16
49,0,0,49,2026-03-27 12:19:17
49,0,0,49,2026-03-27 12:20:17
49,0,0,49,2026-03-27 12:21:18
49,0,0,49,2026-03-27 12:22:19
49,0,0,49,2026-03-27 12:23:19
49,0,0,49,2026-03-27 12:24:20
49,0,0,49,2026-03-27 12:25:20
49,0,0,49,2026-03-27 12:26:21
49,0,0,49,2026-03-27 12:27:21
49,0,0,49,2026-03-27 12:28:22
12,37,0,49,2026-03-27 12:29:23
10,39,0,49,2026-03-27 12:30:24
49,0,0,49,2026-03-27 12:31:24
49,0,0,49,2026-03-27 12:32:25
49,0,0,49,2026-03-27 12:33:26
49,0,0,49,2026-03-27 12:34:26
49,0,0,49,2026-03-27 12:35:26
49,0,0,49,2026-03-27 12:36:27
49,0,0,49,2026-03-27 12:37:27
49,0,0,49,2026-03-27 12:38:28
49,0,0,49,2026-03-27 12:39:28
49,0,0,49,2026-03-27 12:40:28
49,0,0,49,2026-03-27 12:41:29
49,0,0,49,2026-03-27 12:42:30
49,0,0,49,2026-03-27 12:43:30
10,39,0,49,2026-03-27 12:44:30
11,38,0,49,2026-03-27 12:45:31
11,38,0,49,2026-03-27 12:46:32
49,0,0,49,2026-03-27 12:47:32
49,0,0,49,2026-03-27 12:48:33
49,0,0,49,2026-03-27 12:49:33
49,0,0,49,2026-03-27 12:50:33
49,0,0,49,2026-03-27 12:51:34
49,0,0,49,2026-03-27 12:52:34
49,0,0,49,2026-03-27 12:53:35
49,0,0,49,2026-03-27 12:54:35
49,0,0,49,2026-03-27 12:55:35
49,0,0,49,2026-03-27 12:56:36
49,0,0,49,2026-03-27 12:57:36
49,0,0,49,2026-03-27 12:58:37
49,0,0,49,2026-03-27 12:59:37
49,0,0,49,2026-03-27 13:00:37
49,0,0,49,2026-03-27 13:01:38
49,0,0,49,2026-03-27 13:02:38
49,0,0,49,2026-03-27 13:03:39
49,0,0,49,2026-03-27 13:04:39
49,0,0,49,2026-03-27 13:05:39
12,37,0,49,2026-03-27 13:06:40
8,41,0,49,2026-03-27 13:07:40
